Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.441012859344482)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498,)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498, 4.458062171936035)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461,)
Address: /EmotiBit/0/EDA, Values: (4.458062171936035, 4.455221176147461)
Address: /EmotiBit/0/EDA, Values: (4.458062171936035,)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461, 4.455221176147461)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461,)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461, 4.455221176147461)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461,)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461, 4.455221176147461)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461,)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461, 4.455221176147461)
Address: /EmotiBit/0/EDA, Values: (4.449521064758301,)
Address: /EmotiBit/0/EDA, Values: (4.452383995056152, 4.449521064758301)
Address: /EmotiBit/0/EDA, Values: (4.452383995056152, 4.4438371658325195)
Address: /EmotiBit/0/EDA, Values: (4.449521064758301,)
Address: /EmotiBit/0/EDA, Values: (4.4438371658325195, 4.446691036224365)
Address: /EmotiBit/0/EDA, Values: (4.4438371658325195,)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.441012859344482)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482,)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.441012859344482)
Address: /EmotiBit/0/EDA, Values: (4.4381937980651855,)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.435349941253662)
Address: /EmotiBit/0/EDA, Values: (4.4381937980651855,)
Address: /EmotiBit/0/EDA, Values: (4.435349941253662, 4.4381937980651855)
Address: /EmotiBit/0/EDA, Values: (4.435349941253662,)
Address: /EmotiBit/0/EDA, Values: (4.435349941253662, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.42970085144043, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.424094200134277)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.424094200134277, 4.424094200134277)
Address: /EmotiBit/0/EDA, Values: (4.424094200134277, 4.424094200134277)
Address: /EmotiBit/0/EDA, Values: (4.415656089782715,)
Address: /EmotiBit/0/EDA, Values: (4.418474197387695, 4.415656089782715)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953,)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953, 4.401699066162109)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109, 4.398929119110107)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107,)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107, 4.398929119110107)
Address: /EmotiBit/0/EDA, Values: (4.396162986755371,)
Address: /EmotiBit/0/EDA, Values: (4.396162986755371, 4.390613079071045)
Address: /EmotiBit/0/EDA, Values: (4.393372058868408, 4.396162986755371)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107,)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107, 4.396162986755371)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107,)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107, 4.398929119110107)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107,)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107, 4.398929119110107)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107,)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107, 4.398929119110107)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107,)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109, 4.401699066162109)
Address: /EmotiBit/0/EDA, Values: (4.4045000076293945,)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109, 4.4045000076293945)
Address: /EmotiBit/0/EDA, Values: (4.4045000076293945,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701, 4.412868022918701, 4.410083770751953)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.407276153564453)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.410083770751953)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953,)
Address: /EmotiBit/0/EDA, Values: (4.4045000076293945, 4.407276153564453)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953, 4.410083770751953)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953,)
Address: /EmotiBit/0/EDA, Values: (4.4045000076293945, 4.401699066162109)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109,)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109, 4.401699066162109)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107,)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109, 4.401699066162109)
Address: /EmotiBit/0/EDA, Values: (4.398929119110107, 4.407276153564453)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109, 4.407276153564453)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109,)
Address: /EmotiBit/0/EDA, Values: (4.401699066162109, 4.407276153564453)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.407276153564453)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.407276153564453,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.410083770751953, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701,)
Address: /EmotiBit/0/EDA, Values: (4.415656089782715, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.412868022918701)
Address: /EmotiBit/0/EDA, Values: (4.415656089782715,)
Address: /EmotiBit/0/EDA, Values: (4.412868022918701, 4.421267986297607)
Address: /EmotiBit/0/EDA, Values: (4.424094200134277,)
Address: /EmotiBit/0/EDA, Values: (4.421267986297607, 4.421267986297607)
Address: /EmotiBit/0/EDA, Values: (4.424094200134277, 4.424094200134277)
Address: /EmotiBit/0/EDA, Values: (4.415656089782715,)
Address: /EmotiBit/0/EDA, Values: (4.418474197387695, 4.418474197387695)
Address: /EmotiBit/0/EDA, Values: (4.424094200134277,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.415656089782715)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.424094200134277)
Address: /EmotiBit/0/EDA, Values: (4.42970085144043,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.432538032531738)
Address: /EmotiBit/0/EDA, Values: (4.42970085144043,)
Address: /EmotiBit/0/EDA, Values: (4.435349941253662, 4.42970085144043)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.435349941253662)
Address: /EmotiBit/0/EDA, Values: (4.4381937980651855, 4.441012859344482)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482,)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.449521064758301)
Address: /EmotiBit/0/EDA, Values: (4.449521064758301,)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461, 4.455221176147461)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461,)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461, 4.458062171936035)
Address: /EmotiBit/0/EDA, Values: (4.458062171936035,)
Address: /EmotiBit/0/EDA, Values: (4.466663837432861, 4.469520092010498)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498,)
Address: /EmotiBit/0/EDA, Values: (4.466663837432861, 4.469520092010498)
Address: /EmotiBit/0/EDA, Values: (4.472379207611084,)
Address: /EmotiBit/0/EDA, Values: (4.475271224975586, 4.475271224975586)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.489698886871338, 4.492584228515625)
Address: /EmotiBit/0/EDA, Values: (4.489698886871338, 4.49550199508667)
Address: /EmotiBit/0/EDA, Values: (4.49550199508667,)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.507123947143555)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.510059833526611, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.51883602142334, 4.521759033203125)
Address: /EmotiBit/0/EDA, Values: (4.51883602142334,)
Address: /EmotiBit/0/EDA, Values: (4.521759033203125, 4.515888214111328)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328, 4.515888214111328)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328,)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328, 4.51883602142334)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328,)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.510059833526611)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.510059833526611)
Address: /EmotiBit/0/EDA, Values: (4.510059833526611,)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.501290798187256)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.501290798187256)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172,)
Address: /EmotiBit/0/EDA, Values: (4.501290798187256, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172,)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.49550199508667)
Address: /EmotiBit/0/EDA, Values: (4.492584228515625,)
Address: /EmotiBit/0/EDA, Values: (4.486789226531982, 4.486789226531982)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.486789226531982, 4.486789226531982)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.478137016296387)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578, 4.481037139892578)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578,)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578, 4.481037139892578)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.481037139892578)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.478137016296387,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.481037139892578)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578,)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578, 4.481037139892578)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.475271224975586, 4.478137016296387, 4.475271224975586, 4.478137016296387)
Address: /EmotiBit/0/EDA, Values: (4.478137016296387, 4.472379207611084, 4.475271224975586)
Address: /EmotiBit/0/EDA, Values: (4.472379207611084, 4.478137016296387, 4.472379207611084, 4.475271224975586)
Address: /EmotiBit/0/EDA, Values: (4.472379207611084,)
Address: /EmotiBit/0/EDA, Values: (4.478137016296387, 4.472379207611084)
Address: /EmotiBit/0/EDA, Values: (4.472379207611084,)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498, 4.475271224975586)
Address: /EmotiBit/0/EDA, Values: (4.478137016296387,)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578, 4.481037139892578)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.49550199508667,)
Address: /EmotiBit/0/EDA, Values: (4.49550199508667, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172,)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.501290798187256)
Address: /EmotiBit/0/EDA, Values: (4.507123947143555, 4.507123947143555)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.51883602142334)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328,)
Address: /EmotiBit/0/EDA, Values: (4.52471399307251, 4.527645111083984)
Address: /EmotiBit/0/EDA, Values: (4.527645111083984,)
Address: /EmotiBit/0/EDA, Values: (4.527645111083984, 4.527645111083984)
Address: /EmotiBit/0/EDA, Values: (4.530579090118408,)
Address: /EmotiBit/0/EDA, Values: (4.533545970916748, 4.533545970916748)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693, 4.542413234710693)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693, 4.548354148864746)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.5453667640686035, 4.548354148864746)
Address: /EmotiBit/0/EDA, Values: (4.548354148864746,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.557278156280518, 4.557278156280518)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.560251235961914)
Address: /EmotiBit/0/EDA, Values: (4.560251235961914,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.560251235961914)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.566237926483154)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.557278156280518)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.557278156280518)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.557278156280518)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518,)
Address: /EmotiBit/0/EDA, Values: (4.560251235961914, 4.557278156280518)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.554308891296387)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.551314830780029)
Address: /EmotiBit/0/EDA, Values: (4.548354148864746,)
Address: /EmotiBit/0/EDA, Values: (4.551314830780029, 4.548354148864746)
Address: /EmotiBit/0/EDA, Values: (4.554308891296387,)
Address: /EmotiBit/0/EDA, Values: (4.548354148864746, 4.5453667640686035)
Address: /EmotiBit/0/EDA, Values: (4.548354148864746,)
Address: /EmotiBit/0/EDA, Values: (4.5453667640686035, 4.542413234710693)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693, 4.542413234710693)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693, 4.542413234710693)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693, 4.542413234710693)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.539463996887207, 4.542413234710693)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.533545970916748, 4.539463996887207)
Address: /EmotiBit/0/EDA, Values: (4.536489009857178,)
Address: /EmotiBit/0/EDA, Values: (4.536489009857178, 4.530579090118408)
Address: /EmotiBit/0/EDA, Values: (4.533545970916748,)
Address: /EmotiBit/0/EDA, Values: (4.533545970916748, 4.527645111083984)
Address: /EmotiBit/0/EDA, Values: (4.530579090118408,)
Address: /EmotiBit/0/EDA, Values: (4.530579090118408, 4.527645111083984)
Address: /EmotiBit/0/EDA, Values: (4.527645111083984, 4.527645111083984)
Address: /EmotiBit/0/EDA, Values: (4.527645111083984,)
Address: /EmotiBit/0/EDA, Values: (4.527645111083984, 4.52471399307251)
Address: /EmotiBit/0/EDA, Values: (4.52471399307251,)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328, 4.51883602142334)
Address: /EmotiBit/0/EDA, Values: (4.51883602142334,)
Address: /EmotiBit/0/EDA, Values: (4.51883602142334, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328,)
Address: /EmotiBit/0/EDA, Values: (4.515888214111328, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.510059833526611, 4.510059833526611)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.510059833526611)
Address: /EmotiBit/0/EDA, Values: (4.507123947143555,)
Address: /EmotiBit/0/EDA, Values: (4.510059833526611, 4.501290798187256)
Address: /EmotiBit/0/EDA, Values: (4.501290798187256,)
Address: /EmotiBit/0/EDA, Values: (4.501290798187256, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172,)
Address: /EmotiBit/0/EDA, Values: (4.504220008850098, 4.504220008850098)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172,)
Address: /EmotiBit/0/EDA, Values: (4.501290798187256, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172,)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.49550199508667,)
Address: /EmotiBit/0/EDA, Values: (4.49550199508667, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172,)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.49550199508667,)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.498394012451172)
Address: /EmotiBit/0/EDA, Values: (4.498394012451172, 4.504220008850098)
Address: /EmotiBit/0/EDA, Values: (4.507123947143555,)
Address: /EmotiBit/0/EDA, Values: (4.510059833526611, 4.512971878051758)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758,)
Address: /EmotiBit/0/EDA, Values: (4.512971878051758, 4.521759033203125)
Address: /EmotiBit/0/EDA, Values: (4.527645111083984,)
Address: /EmotiBit/0/EDA, Values: (4.527645111083984, 4.533545970916748)
Address: /EmotiBit/0/EDA, Values: (4.530579090118408,)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693, 4.542413234710693)
Address: /EmotiBit/0/EDA, Values: (4.542413234710693,)
Address: /EmotiBit/0/EDA, Values: (4.5453667640686035, 4.554308891296387)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518,)
Address: /EmotiBit/0/EDA, Values: (4.557278156280518, 4.557278156280518)
Address: /EmotiBit/0/EDA, Values: (4.560251235961914,)
Address: /EmotiBit/0/EDA, Values: (4.566237926483154, 4.572240829467773)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773,)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773, 4.572240829467773)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773,)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773, 4.572240829467773)
Address: /EmotiBit/0/EDA, Values: (4.575232982635498,)
Address: /EmotiBit/0/EDA, Values: (4.575232982635498, 4.575232982635498)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773,)
Address: /EmotiBit/0/EDA, Values: (4.575232982635498, 4.578258991241455)
Address: /EmotiBit/0/EDA, Values: (4.575232982635498,)
Address: /EmotiBit/0/EDA, Values: (4.575232982635498, 4.578258991241455)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773, 4.575232982635498)
Address: /EmotiBit/0/EDA, Values: (4.5812602043151855,)
Address: /EmotiBit/0/EDA, Values: (4.5812602043151855, 4.578258991241455)
Address: /EmotiBit/0/EDA, Values: (4.578258991241455,)
Address: /EmotiBit/0/EDA, Values: (4.575232982635498, 4.572240829467773)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773,)
Address: /EmotiBit/0/EDA, Values: (4.572240829467773, 4.572240829467773)
